Fertility Rate
2018,1.74
2017,1.741
2016,1.752
2015,1.814
2014,1.826
2013,1.855
2012,1.92
2011,1.926
2010,1.928
2009,1.971
2008,1.984
2007,1.959
2006,1.908
2005,1.807
2004,1.768
2003,1.748
2002,1.756
2001,1.739
2000,1.756
1999,1.755
1998,1.762
1997,1.778
1996,1.796
1995,1.822
1994,1.842
1993,1.859
1992,1.888
1991,1.849
1990,1.902

